ticket_id,platform,priority,status,assigned_group,title,description,root_cause,resolution_summary,created_date,resolved_date,app_link
CW-1096,CloudWatch,Low,Closed,DevOps,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,Unoptimized workload placement,Optimized Lambda execution time.,2025-02-03 13:00:00,2025-02-03 18:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1096
CW-1067,CloudWatch,Medium,In Progress,DBA Team,S3 request latency unusually high,Failure trend observed across multiple Lambda executions.,Infinite loop execution,Increased allocated resources.,2025-01-03 01:00:00,2025-01-04 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1067
JIRA-1063,Jira,Low,In Progress,DBA Team,VPN connection failure,Service unreachable due to network routing failure.,Expired authentication token,Renewed authentication certificate.,2025-02-05 04:00:00,2025-02-07 01:00:00,https://jira.example.com/browse/JIRA-1063
PBI-1133,PowerBI,Medium,Closed,Security Ops,Gateway connection error,Visuals stuck loading indefinitely.,Dataset schema mismatch,Adjusted schema and refreshed dataset successfully.,2025-02-03 14:00:00,2025-02-06 02:00:00,https://app.powerbi.com/reports/PBI-1133
JIRA-1066,Jira,Medium,Closed,DBA Team,Disk space running low,Authentication request failed repeatedly for end users.,Network latency spike,Renewed authentication certificate.,2025-02-03 23:00:00,2025-02-06 06:00:00,https://jira.example.com/browse/JIRA-1066
CW-1021,CloudWatch,Low,Closed,DevOps,EC2 instance restart detected,Elevated latency impacting application performance.,Unoptimized workload placement,Scaled instance type.,2025-01-10 23:00:00,2025-01-13 19:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1021
TAB-1146,Tableau,Critical,Closed,Cloud Team,Dashboard filter not working,Users experiencing delay in loading components.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-15 04:00:00,2025-01-17 11:00:00,https://tableau.example.com/views/TAB-1146
PBI-1090,PowerBI,Low,Resolved,Security Ops,Report visuals not rendering,Unable to connect to on-prem data gateway.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-06 23:00:00,2025-01-08 23:00:00,https://app.powerbi.com/reports/PBI-1090
CW-1160,CloudWatch,Critical,Resolved,Security Ops,CloudWatch alarm triggered for CPU threshold,Elevated latency impacting application performance.,High read/write operations,Optimized Lambda execution time.,2025-02-05 17:00:00,2025-02-07 10:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1160
PBI-1056,PowerBI,Medium,Closed,DevOps,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-20 16:00:00,2025-01-23 12:00:00,https://app.powerbi.com/reports/PBI-1056
JIRA-1065,Jira,High,Open,Helpdesk,503 service unavailable,Database query execution time exceeding normal threshold.,Firewall misconfiguration,Optimized memory allocation and redeployed.,2025-02-03 21:00:00,2025-02-06 08:00:00,https://jira.example.com/browse/JIRA-1065
TAB-1086,Tableau,Critical,In Progress,Cloud Team,Slow performance on Tableau report,Interactive filters returning empty result set.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-06 06:00:00,2025-01-07 16:00:00,https://tableau.example.com/views/TAB-1086
CW-1035,CloudWatch,Low,Open,Network Ops,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,Infinite loop execution,Scaled instance type.,2025-01-09 21:00:00,2025-01-12 12:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1035
JIRA-1067,Jira,High,Closed,Cloud Team,503 service unavailable,Users reported service disruptions affecting business workflow.,Firewall misconfiguration,Renewed authentication certificate.,2025-01-01 14:00:00,2025-01-03 17:00:00,https://jira.example.com/browse/JIRA-1067
TAB-1127,Tableau,Low,In Progress,DevOps,Slow performance on Tableau report,Dashboard not showing newly ingested records.,Incorrect join logic in data model,Optimized query and reindexed table.,2025-01-18 05:00:00,2025-01-20 03:00:00,https://tableau.example.com/views/TAB-1127
TAB-1195,Tableau,High,Open,Network Ops,Extract refresh failed,Users experiencing delay in loading components.,Network throttling issue,Updated credentials and reran extract.,2025-01-15 11:00:00,2025-01-16 17:00:00,https://tableau.example.com/views/TAB-1195
TAB-1044,Tableau,Medium,Closed,Security Ops,Missing data in visualization,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-20 09:00:00,2025-01-21 00:00:00,https://tableau.example.com/views/TAB-1044
TAB-1177,Tableau,Low,Open,Security Ops,Permission denied on shared dashboard,Dashboard not showing newly ingested records.,Network throttling issue,Optimized query and reindexed table.,2025-01-14 09:00:00,2025-01-15 13:00:00,https://tableau.example.com/views/TAB-1177
CW-1010,CloudWatch,Critical,Closed,Network Ops,RDS free storage space critically low,Database storage reaching capacity limits.,High read/write operations,Increased allocated resources.,2025-01-18 03:00:00,2025-01-20 06:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1010
PBI-1126,PowerBI,Low,Closed,DevOps,Gateway connection error,Unable to connect to on-prem data gateway.,Gateway server under maintenance,Reconfigured gateway settings and validated connectivity.,2025-01-07 02:00:00,2025-01-09 13:00:00,https://app.powerbi.com/reports/PBI-1126
CW-1058,CloudWatch,Medium,Resolved,Cloud Team,RDS free storage space critically low,Elevated latency impacting application performance.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-26 19:00:00,2025-01-28 15:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1058
PBI-1129,PowerBI,Critical,In Progress,DevOps,Power BI refresh failed,Unable to connect to on-prem data gateway.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-24 22:00:00,2025-01-25 19:00:00,https://app.powerbi.com/reports/PBI-1129
CW-1022,CloudWatch,Critical,In Progress,DBA Team,EC2 instance restart detected,Elevated latency impacting application performance.,Unbalanced traffic routing,Increased allocated resources.,2025-02-04 00:00:00,2025-02-05 02:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1022
CW-1121,CloudWatch,High,Resolved,DevOps,CloudWatch alarm triggered for CPU threshold,Elevated latency impacting application performance.,High read/write operations,Increased allocated resources.,2025-01-10 16:00:00,2025-01-10 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1121
TAB-1160,Tableau,Low,Open,DevOps,Tableau dashboard not refreshing,Users experiencing delay in loading components.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-02 19:00:00,2025-01-05 01:00:00,https://tableau.example.com/views/TAB-1160
JIRA-1030,Jira,Medium,Open,Network Ops,Application crash after update,System detected performance degradation across multiple nodes.,Database deadlock,Resolved deadlock and restarted DB instance.,2025-02-02 22:00:00,2025-02-05 02:00:00,https://jira.example.com/browse/JIRA-1030
TAB-1060,Tableau,Critical,In Progress,DBA Team,Permission denied on shared dashboard,Scheduled extract refresh failure detected.,Tableau server CPU overload,Updated credentials and reran extract.,2025-01-05 15:00:00,2025-01-07 10:00:00,https://tableau.example.com/views/TAB-1060
CW-1037,CloudWatch,High,In Progress,Cloud Team,RDS free storage space critically low,Elevated latency impacting application performance.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-02-03 08:00:00,2025-02-04 16:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1037
CW-1146,CloudWatch,High,Resolved,Network Ops,RDS free storage space critically low,Failure trend observed across multiple Lambda executions.,High read/write operations,Scaled instance type.,2025-01-22 18:00:00,2025-01-24 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1146
PBI-1170,PowerBI,High,Closed,Helpdesk,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-01-07 03:00:00,2025-01-09 22:00:00,https://app.powerbi.com/reports/PBI-1170
TAB-1015,Tableau,Low,Closed,Helpdesk,Missing data in visualization,Dashboard not showing newly ingested records.,Data source credentials expired,Optimized query and reindexed table.,2025-02-01 15:00:00,2025-02-01 21:00:00,https://tableau.example.com/views/TAB-1015
JIRA-1078,Jira,Low,In Progress,Network Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-09 20:00:00,2025-01-12 18:00:00,https://jira.example.com/browse/JIRA-1078
PBI-1178,PowerBI,High,Resolved,Network Ops,Incorrect KPI values displayed,Unable to connect to on-prem data gateway.,Gateway authentication failure,Corrected data transformation steps.,2025-01-12 18:00:00,2025-01-13 02:00:00,https://app.powerbi.com/reports/PBI-1178
TAB-1183,Tableau,Medium,Open,DBA Team,Permission denied on shared dashboard,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-29 08:00:00,2025-01-30 10:00:00,https://tableau.example.com/views/TAB-1183
JIRA-1039,Jira,Low,In Progress,Network Ops,User unable to login,Application not responding after deployment activities.,Firewall misconfiguration,Optimized memory allocation and redeployed.,2025-01-10 10:00:00,2025-01-12 12:00:00,https://jira.example.com/browse/JIRA-1039
JIRA-1023,Jira,Medium,Resolved,Security Ops,Application crash after update,Application not responding after deployment activities.,Memory leak issue,Optimized memory allocation and redeployed.,2025-01-23 05:00:00,2025-01-25 07:00:00,https://jira.example.com/browse/JIRA-1023
CW-1092,CloudWatch,Critical,Resolved,Security Ops,S3 request latency unusually high,Failure trend observed across multiple Lambda executions.,Unbalanced traffic routing,Scaled instance type.,2025-01-25 09:00:00,2025-01-27 06:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1092
TAB-1198,Tableau,Low,In Progress,Network Ops,Tableau dashboard not refreshing,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-03 04:00:00,2025-01-05 00:00:00,https://tableau.example.com/views/TAB-1198
CW-1196,CloudWatch,Medium,Closed,Cloud Team,CloudWatch alarm triggered for CPU threshold,Database storage reaching capacity limits.,High read/write operations,Optimized Lambda execution time.,2025-02-05 01:00:00,2025-02-07 11:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1196
CW-1141,CloudWatch,Medium,Closed,Network Ops,CloudWatch alarm triggered for CPU threshold,Failure trend observed across multiple Lambda executions.,Infinite loop execution,Optimized Lambda execution time.,2025-01-04 23:00:00,2025-01-05 01:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1141
JIRA-1139,Jira,High,Closed,Cloud Team,Email service outage,System detected performance degradation across multiple nodes.,SSL handshake failure,Renewed authentication certificate.,2025-01-04 18:00:00,2025-01-07 15:00:00,https://jira.example.com/browse/JIRA-1139
TAB-1050,Tableau,Critical,Open,Network Ops,Slow performance on Tableau report,Scheduled extract refresh failure detected.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-02-02 13:00:00,2025-02-04 23:00:00,https://tableau.example.com/views/TAB-1050
JIRA-1174,Jira,Low,Closed,Security Ops,Database timeout issue,Database query execution time exceeding normal threshold.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-11 13:00:00,2025-01-11 15:00:00,https://jira.example.com/browse/JIRA-1174
TAB-1123,Tableau,Medium,In Progress,Cloud Team,Dashboard filter not working,Scheduled extract refresh failure detected.,Data source credentials expired,Optimized query and reindexed table.,2025-01-17 01:00:00,2025-01-18 17:00:00,https://tableau.example.com/views/TAB-1123
PBI-1195,PowerBI,Critical,Closed,Helpdesk,Report visuals not rendering,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-04 15:00:00,2025-01-04 16:00:00,https://app.powerbi.com/reports/PBI-1195
PBI-1125,PowerBI,Medium,In Progress,Network Ops,Incorrect KPI values displayed,Scheduled data refresh encountered failure due to timeout.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-15 03:00:00,2025-01-17 17:00:00,https://app.powerbi.com/reports/PBI-1125
